,question,answer,question_type,filename
107,"How does the remuneration framework for the CEO and Group Executives align with the Group's strategy and values, and what is the purpose of the holding period after a four-year performance period for LTAR?","The remuneration framework for the CEO and Group Executives is designed to attract and retain exceptional talent, align with sustainable shareholder returns, and meet regulatory requirements. It consists of fixed remuneration, short-term variable remuneration, and long-term variable remuneration. The long-term variable remuneration (LTAR) has a holding period after a four-year performance period to ensure that the remuneration outcomes are aligned with the long-term performance of the Group. This holding period is subject to a maximum opportunity of 70% of FR, and is assessed on relative TSR, measured against two equally-weighted comparator groups: a general ASX peer group and a financial services peer group. The purpose of the holding period is to encourage sustainable outperformance and discourage poor performance, and to recognize the role of non-financial drivers in longer-term value creation. The remuneration framework reflects the Group's strategy and values, including its focus on customer, leadership, strategy execution, and shareholder measures.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
108,"How has Paul O'Malley's experience in investment banking and audit contributed to his ability to serve as a Chair and Independent Non-Executive Director at App Finance, given that he has also served as Managing Director and Chief Executive Officer of BlueScope Steel Ltd for 10 years, and considering his current role as a Director of the Business Council of Australia and Financial Markets Foundation for Children?","Paul O'Malley's experience in investment banking and audit has provided him with a strong background in finance and accounting, which has been beneficial in his roles as Managing Director and Chief Executive Officer of BlueScope Steel Ltd and as a Director of the Business Council of Australia and Financial Markets Foundation for Children. This experience has allowed him to provide valuable insights and guidance to App Finance as a Chair and Independent Non-Executive Director, particularly in terms of financial risk management, leadership, and culture, and navigating complexity in a highly regulated environment.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
109,"How did the Group's non-financial performance and remuneration framework contribute to the achievement of its ESG obligations and ambitions in FY23, and what was the impact of risk management on STVR outcomes for key management personnel?","The Group's non-financial performance and remuneration framework were critical to its overarching strategy and purpose to build a brighter future for all, and were incorporated in executive performance scorecards and risk milestones. The Group's ESG obligations and ambitions were prioritized, and progress was made towards achievement of gender diversity goals, with high levels of employee engagement. The Group's corporate reputation was the highest among its peers, and financial and non-financial performance were considerations for STVR outcomes. Leadership and strategy outcomes determined whether LTAR awards were granted, and risk management was a core element of the approach to performance, with consequences for when expectations were not met. Over time, the proportion of people fully meeting the Group's risk expectations improved, reflecting the impact of programs of work aimed at improving risk management. The Board considered performance outcomes both in the context of FY23 and over a multi-year period and approved fixed remuneration, STVR outcomes between 73% and 100% of maximum, and LTAR grant with no reduction.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
110,"What is the likelihood of the Group incurring a loss due to the shareholder class actions, considering the allegations of breaches of continuous disclosure obligations and misleading and deceptive conduct in relation to the subject matter of the civil penalty proceedings brought against CBA by the Australian Transaction Reports and Analysis Centre (AUSTRA C), and the resolution of the AUSTRAC civil penalty proceedings with CBA paying a penalty of $700 million and legal costs?","It is currently not possible to determine the ultimate impact of these claims, if any, on the Group, as the two class actions are being case managed together, with a single harmonized statement of claim, and a trial took place in November and December 2022, and judgement is reserved.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
111,"What is the name of the organization that the Managing Director and Chief Executive Officer of Commonwealth Bank of Australia, who has over 22 years of experience in banking and has held various senior leadership roles since joining the Bank in 1999, serves as a Director of, and which organization's Chairman and a Non-Executive Director retired on 10 August 2022?","The name of the organization that the Managing Director and Chief Executive Officer of Commonwealth Bank of Australia, Matt Comyn, serves as a Director of is the Business Council of Australia and Financial Markets Foundation for Children. The Chairman and a Non-Executive Director of Commonwealth Bank of Australia, Catherine Livingstone, retired on 10 August 2022.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
112,"How does the remuneration framework for the CEO and Group Executives align with the company's strategy and values, and how does it vary remuneration outcomes in line with annual performance achievement and longer-term performance measures, while also considering future financial factors and individual non-financial performance of leadership and strategy execution, and how does it reflect the role of non-financial drivers in longer-term value creation, and how does it ensure that the remuneration outcomes are market competitive and simple and transparent, and how does it reward sustainable outperformance and discourage poor performance, and how does it recognize the role of non-financial drivers in longer-term value creation, and how does it align with shareholder value creation, and how does it attract and retain exceptional talent, and how does it reflect the Group's strategy and values?","The remuneration framework for the CEO and Group Executives is designed to align with the company's strategy and values by providing market competitive remuneration to attract and retain high-quality talent while reflecting role scope and accountabilities. The framework varies remuneration outcomes in line with annual performance achievement, with a material weighting to financial and non-financial outcomes across customer, leadership, strategy execution, and shareholder measures. It also drives collective focus on increasing the value of CBA over time, and individual focus on leadership and strategy execution. The framework ensures that remuneration outcomes are market competitive and simple and transparent, and it rewards sustainable outperformance and discourages poor performance. It recognizes the role of non-financial drivers in longer-term value creation and aligns with shareholder value creation. The framework also reflects the Group's strategy and values, and it is designed to attract and retain exceptional talent. The maximum opportunity for FR is 70% of FR, subject to pre-grant and pre-vest assessments, and a restriction period, which considers future financial factors and individual non-financial performance of leadership and strategy execution.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
113,"How does the remuneration framework design align with the People & Remuneration Committee's priorities, and what is the relationship between the long-term variable remuneration vesting outcome and the TSR performance?","The remuneration framework design aligns with the People & Remuneration Committee's priorities of ensuring that the people and remuneration strategy, frameworks, and practices support the Group's strategic priorities and cultural ambitions, are future fit, and are compliant with all applicable local and global regulatory requirements. The long-term variable remuneration vesting outcome is directly related to the TSR performance, as it reflects the Group's performance on relative TSR, trust and reputation, and employee engagement over the four-year performance period. The TSR over this same period was 59%, reflecting strong returns for shareholders, and the face value of the award at vesting was 39% higher than at the time of grant due to the increase in share price during the period.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
114,"What is the name of the bank that Lyn worked for as Group Treasurer, which is also the same bank that Paul O'Malley, a current director of the company, served as Managing Director and Chief Executive Officer of its online share trading business, CommSec?","The name of the bank that Lyn worked for as Group Treasurer is Commonwealth Bank of Australia, which is also the same bank that Paul O'Malley served as Managing Director and Chief Executive Officer of its online share trading business, CommSec.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
115,"What is the name of the committee that the Managing Director and Chief Executive Officer of BlueScope Steel Ltd, who is also a former Director of the Worldsteel Association and a Trustee of the Melbourne Cricket Ground Trust, serves on?","The name of the committee that Paul O'Malley, who serves as an Independent Non-Executive Director of Commonwealth Bank of Australia, serves on is Nominations Committee, Audit Committee, Risk & Compliance Committee, and People & Remuneration Committee.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
116,"What is the professional background of the individual who has held leadership positions in telecommunications and energy companies and is currently a chairman of three privately owned businesses, including Smart Environmental Group Ltd, Les Mills International Ltd, and Designer Wardrobe Ltd?",The individual with the described background is Simon Moutter.,multi-hop reasoning,CBA_AnnualReport_2023.pdf
117,"How does the remuneration framework of the given context align with the principles of shareholder value creation, attracting and retaining exceptional talent, and recognizing the role of non-financial drivers in longer-term value creation, while also varying remuneration outcomes in line with annual and longer-term performance measures, and ensuring that the mix of fixed and variable remuneration is market competitive and reflects role scope and accountabilities?","The remuneration framework of the given context aligns with the principles of shareholder value creation by focusing on relative TSR and increasing the value of CBA over time. It attracts and retains exceptional talent by providing market competitive remuneration and varying remuneration outcomes in line with performance achievement. The framework also recognizes the role of non-financial drivers in longer-term value creation by considering them in the assessment of performance. The mix of fixed and variable remuneration is market competitive and reflects role scope and accountabilities, ensuring that the remuneration outcomes are aligned with the Group's strategy and values.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
118,"What is the professional background of the person who held senior roles at AON Ltd UK and was a member of AON's Global Executive Committee before becoming Managing Director and Chief Executive Officer of Insurance Australia Group Ltd, and is currently an Independent Non-Executive Director at Commonwealth Bank of Australia?",The person with the above background is Peter Harmer.,multi-hop reasoning,CBA_AnnualReport_2023.pdf
119,"What is the name of the Director who retired effective 10 August 2022, and was also the Chair of the People & Remuneration Committee before retiring, and was a member of the Audit Committee, and was not a member of the Nominations Committee, and did not attend any unscheduled meetings of the Board or any Board Committees during their tenure, and was not appointed to any concurrent meetings of the four Board Committees?","The name of the Director who retired effective 10 August 2022, and was also the Chair of the People & Remuneration Committee before retiring, and was a member of the Audit Committee, and was not a member of the Nominations Committee, and did not attend any unscheduled meetings of the Board or any Board Committees during their tenure, and was not appointed to any concurrent meetings of the four Board Committees is Catherine Livingstone AO.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
120,"What is the maximum opportunity for LTAR, considering the mix of fixed remuneration, short-term variable remuneration, and long-term variable remuneration, and how does it compare to the target opportunity, while taking into account the performance measures and deferral periods, and is the remuneration aligned with shareholder value creation and non-financial drivers of longer-term value creation?","The maximum opportunity for LTAR is 70% of FR, assessed on relative TSR, measured against two equally-weighted comparator groups: a general ASX peer group and a financial services peer group, subject to a holding period after a four-year performance period. The target opportunity for LTAR is 75% of FR, with a maximum opportunity of 94% of FR, based on a balanced performance scorecard, risk scorecard, and values assessment. The remuneration principles are aligned with shareholder value creation, market competitive to attract and retain exceptional talent, reward sustainable outperformance and discourage poor performance, recognize the role of non-financial drivers in longer-term value creation, and are simple and transparent, reflecting the Group's strategy and values.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
