question,answer,tokens_present,document
How will the IRS improve customer service in the near future?,"The IRS will provide multichannel assistance, allowing taxpayers to file and communicate with them through the channel of their choice. They will also offer a chatbot and the option to request a call from an agent.","['The IRS', 'will', 'provide', 'multichannel', 'assistance', 'allowing', 'taxpayers', 'to', 'file', 'and', 'communicate', 'with', 'them', 'through', 'the', 'channel', 'of', 'their', 'choice', 'They', 'will', 'also', 'offer', 'a', 'chatbot', 'and', 'the', 'option', 'to', 'request', 'a', 'call', 'from', 'an', 'agent']",IRS_Strategic_Operating_Plan.pdf
What is the goal of the IRS's strategic operating plan?,"The goal of the IRS's strategic operating plan is to increase service levels, decrease the difference between credits and deductions available versus those claimed, and increase taxpayer satisfaction with IRS interactions and service.","['increase', 'decrease', 'service', 'satisfaction']",IRS_Strategic_Operating_Plan.pdf
How will the IRS help taxpayers understand which energy security and clean energy credits they may be eligible for?,The IRS will provide enhanced education and assistance to help taxpayers understand which energy security and clean energy credits they may be eligible for and how to claim them.,"['enhanced', 'education', 'assistance', 'eligible', 'claim']",IRS_Strategic_Operating_Plan.pdf
What is one way the IRS will make filing easier for taxpayers?,The IRS will provide taxpayers with the ability to transfer their clean vehicle tax credit to a car dealer for an equivalent price discount starting in 2024.,"['The IRS', 'taxpayers', 'clean vehicle tax credit', 'car dealer', 'price discount', 'starting in 2024']",IRS_Strategic_Operating_Plan.pdf
How will the IRS reduce filing burdens for taxpayers?,The IRS will provide a wider array of digital options to help taxpayers and tax professionals interact with them and have a more seamless customer experience.,[],IRS_Strategic_Operating_Plan.pdf
What is one way the IRS will increase access to taxpayer services?,"The IRS will offer multichannel assistance, allowing taxpayers to file and communicate with them through the channel of their choice.","['multichannel', 'assistance', 'taxpayers', 'choice']",IRS_Strategic_Operating_Plan.pdf
How will the IRS improve the customer experience for taxpayers?,The IRS will provide a more personalized experience for taxpayers by allowing them to access their online account and track the status of their account and claims.,"['The IRS', 'taxpayers', 'online', 'account', 'claims']",IRS_Strategic_Operating_Plan.pdf
What is one way the IRS will reduce errors and improper payments?,"The IRS will provide real-time alerts to taxpayers when they submit their return online, allowing them to correct easy-to-fix errors before submitting their return.","['real-time', 'alerts', 'taxpayers', 'submit', 'return']",IRS_Strategic_Operating_Plan.pdf
What is the main issue with taxpayers' access to customer service according to the IRS Strategic Operating Plan?,"According to the plan, taxpayers lack convenient ways to access and use their tax data, and filing and communications are paper-based and inconvenient for taxpayers.","['lack', 'convenient', 'tax data', 'filing', 'communications', 'paper-based', 'inconvenient']",IRS_Strategic_Operating_Plan.pdf
What is the objective of Initiative 1.1 in the IRS Strategic Operating Plan?,The objective of Initiative 1.1 is to improve the availability and accessibility of customer service for taxpayers.,"['improve', 'availability', 'accessibility', 'customer service', 'taxpayers']",IRS_Strategic_Operating_Plan.pdf
How will Initiative 1.1 improve customer service for taxpayers?,Initiative 1.1 aims to provide taxpayers with on-demand customer service or the ability to schedule service ahead of time.,"['on-demand', 'schedule']",IRS_Strategic_Operating_Plan.pdf
What is the goal of Initiative 1.2 in the IRS Strategic Operating Plan?,The goal of Initiative 1.2 is to expand digital services and digitalization for taxpayers.,"['expand', 'digital', 'services', 'digitalization', 'taxpayers']",IRS_Strategic_Operating_Plan.pdf
How will Initiative 1.2 improve digital services for taxpayers?,Initiative 1.2 aims to enable taxpayers to file all documents securely and exchange correspondence electronically.,"['enable', 'taxpayers', 'file', 'securely', 'exchange', 'correspondence', 'electronically']",IRS_Strategic_Operating_Plan.pdf
What is the purpose of Initiative 1.3 in the IRS Strategic Operating Plan?,The purpose of Initiative 1.3 is to ensure that employees have the right tools to quickly and effectively meet the needs of taxpayers.,"['ensure', 'right', 'tools', 'quickly', 'effectively', 'meet', 'needs', 'taxpayers']",IRS_Strategic_Operating_Plan.pdf
How will Initiative 1.3 improve employee tools and information?,Initiative 1.3 aims to provide employees with the right tools and information to quickly and effectively meet the needs of taxpayers.,"['Initiative', 'employees', 'tools', 'information', 'taxpayers']",IRS_Strategic_Operating_Plan.pdf
What is the goal of Initiative 1.4 in the IRS Strategic Operating Plan?,The goal of Initiative 1.4 is to improve self-service options for taxpayers.,"['improve', 'self-service', 'taxpayers']",IRS_Strategic_Operating_Plan.pdf
How will Initiative 1.4 improve self-service options for taxpayers?,"Initiative 1.4 aims to provide taxpayers with secure online accounts where they can view their account and profile information, make changes, interact with the IRS, and manage preferences for payments, refunds, and communications.","['secure online accounts', 'view', 'make changes', 'interact', 'manage preferences']",IRS_Strategic_Operating_Plan.pdf
What is the objective of Initiative 1.5 in the IRS Strategic Operating Plan?,The objective of Initiative 1.5 is to explore direct file options for taxpayers.,"['explore', 'direct', 'file', 'options', 'taxpayers']",IRS_Strategic_Operating_Plan.pdf
What is the goal of Initiative 1.6 in the IRS Strategic Operating Plan?,The goal of Initiative 1.6 is to enable taxpayers to access their data and download and seamlessly share their tax data and IRS history.,"['seamlessly', 'share', 'tax data', 'IRS history']",IRS_Strategic_Operating_Plan.pdf
How will Initiative 1.7 improve taxpayers' access to their data?,Initiative 1.7 aims to provide taxpayers with earlier legal certainty and additional guidance on tax issues.,"['earlier', 'legal', 'certainty', 'additional', 'guidance', 'tax', 'issues']",IRS_Strategic_Operating_Plan.pdf
What is the purpose of Initiative 1.8 in the IRS Strategic Operating Plan?,"The purpose of Initiative 1.8 is to deliver proactive alerts to taxpayers to help them meet filing and payment obligations, understand opportunities to claim certain incentives, and learn about life changes that could impact their taxes.","['proactive', 'alerts', 'taxpayers', 'filing', 'payment', 'obligations', 'incentives', 'life', 'changes', 'taxes']",IRS_Strategic_Operating_Plan.pdf
How will Initiative 1.9 help taxpayers understand and claim appropriate credits and deductions?,"Initiative 1.9 aims to provide taxpayers, including individuals and small businesses, with education and assistance in claiming available incentives.",['Incentives'],IRS_Strategic_Operating_Plan.pdf
What is the goal of Initiative 1.10 in the IRS Strategic Operating Plan?,The goal of Initiative 1.10 is to make payments easy for taxpayers.,"['make', 'payments', 'easy', 'taxpayers']",IRS_Strategic_Operating_Plan.pdf
How will Initiative 1.11 improve the payment process for taxpayers?,Initiative 1.11 aims to provide taxpayers with easy and seamless payment options through all service channels.,"['easy', 'seamless', 'payment', 'options', 'service', 'channels']",IRS_Strategic_Operating_Plan.pdf
What is the purpose of Initiative 1.12 in the IRS Strategic Operating Plan?,The purpose of Initiative 1.12 is to build status-tracking,"['build', 'status-tracking']",IRS_Strategic_Operating_Plan.pdf
"What are the challenges faced by low-income taxpayers, those with limited mobility or limited English proficiency, and those who do not have flexible schedules when it comes to tax compliance?","Low levels of service and limited customer service options are especially challenging for these groups, contributing to tax compliance issues and loss of trust in the tax system.","['limited', 'low', 'challenging', 'compliance', 'issues', 'loss', 'trust']",IRS_Strategic_Operating_Plan.pdf
What is the goal of the IRS's customer service improvement initiative?,"The goal is to dramatically improve technology-driven options for taxpayers, provide better access to customer service, and improve employee tools to deliver better service.","['improve', 'technology-driven', 'options', 'taxpayers', 'access', 'customer', 'service', 'employee', 'tools', 'deliver', 'better']",IRS_Strategic_Operating_Plan.pdf
What are the key projects under the IRS's customer service improvement initiative?,"The key projects include expanding service offerings across multiple channels, providing accurate wait time estimates, staffing customer service functions to meet projected demand, improving appointment scheduling and on-demand capabilities, and developing policies and tools that support first-contact problem-resolution.","['expanding', 'accurate', 'staffing', 'improving', 'developing']",IRS_Strategic_Operating_Plan.pdf
How will the IRS improve technology-driven options for taxpayers?,"The IRS will use enhanced data and analytics to forecast customer service demand and improve customer service access and options, staffing accordingly. They will also enable taxpayers to schedule service through digital and in-person channels and develop a plan to provide estimated wait times and on-demand service through all channels, including at Taxpayer Assistance Centers (TACs).","['enhanced', 'data', 'analytics', 'customer', 'service', 'demand', 'staffing', 'digital', 'in-person', 'channels', 'estimated', 'wait', 'on-demand']",IRS_Strategic_Operating_Plan.pdf
How will the IRS ensure that communication channels for tax professionals are available and accessible?,"The IRS will ensure that communication channels for tax professionals, such as the Practitioner Line, are available and accessible.","['available', 'accessible']",IRS_Strategic_Operating_Plan.pdf
What is the objective of providing a multichannel service experience?,"The objective is to provide a seamless and consistent experience for taxpayers across all service channels, including in-person, telephone, and digital services.","['seamless', 'consistent', 'taxpayers', 'in-person', 'telephone', 'digital']",IRS_Strategic_Operating_Plan.pdf
How will the IRS ensure that customer service improvements are comparable across diverse taxpayer segments?,"The IRS will ensure that customer service improvements are comparable across diverse taxpayer segments, including those with disabilities and limited English proficiency.","['including', 'with', 'limited', 'English', 'proficiency']",IRS_Strategic_Operating_Plan.pdf
What is the goal of providing estimated wait times and on-demand service?,"The goal is to provide transparency and certainty to taxpayers about the time it will take to receive service, and to provide on-demand service options to meet their diverse needs.","['transparency', 'certainty', 'time', 'service', 'on-demand', 'options', 'diverse', 'needs']",IRS_Strategic_Operating_Plan.pdf
How will the IRS measure the success of its customer service improvement initiative?,"The IRS will measure success based on increased levels of service across all channels, reduced wait times, increased compliance with tax obligations, and increased accuracy of returns, including claims for credits and deductions.","['increased', 'reduced', 'increased', 'increased', 'including']",IRS_Strategic_Operating_Plan.pdf
What is the objective of developing policies and tools that support first-contact problem-resolution?,"The objective is to develop policies and tools that support the immediate involvement of the right people to resolve taxpayer issues quickly, even when first-contact employees do not have the information or authority to resolve the issues.","['quickly', 'resolve', 'issues']",IRS_Strategic_Operating_Plan.pdf
What is the goal of Initiative 1.1 of the IRS's Strategic Operating Plan?,"The goal of Initiative 1.1 is to enable equal access through equitable practices, provide equitable access to IRS services and opportunities for taxpayers, and meet the needs of rural populations, people with disabilities, those with limited English proficiency, other underserved communities, and small businesses.","['equal', 'access', 'services', 'opportunities', 'taxpayers', 'rural', 'populations', 'disabilities', 'limited', 'English', 'proficiency', 'underserved', 'communities', 'small', 'businesses']",IRS_Strategic_Operating_Plan.pdf
What are some milestones for Initiative 1.1?,"Milestones for Initiative 1.1 include expanding hours at Taxpayer Assistance Centers (TACs) for appointments and on-demand service with staffing to meet expected demand, taxpayers and tax professionals being able to schedule service appointments via multiple channels based on staff availability, and increased service availability and services being offered in TACs and on phones to meet taxpayer demand.","['expanding', 'hours', 'Taxpayer', 'Assistance', 'Centers', 'appointments', 'on-demand', 'service', 'staffing', 'demand', 'taxpayers', 'tax', 'professionals', 'schedule', 'service', 'appointments', 'channels', 'staff', 'availability', 'services', 'TACs', 'phones', 'taxpayer', 'demand']",IRS_Strategic_Operating_Plan.pdf
What is the key dependency for Initiative 1.1?,"The key dependency for Initiative 1.1 is the successful implementation of projects in initiatives 1.3, 1.4, 1.12, 4.5-4.7, and 5.5-5.7.","['successful', 'implementation', 'projects', 'initiatives']",IRS_Strategic_Operating_Plan.pdf
What is the objective of Initiative 1.2?,"The objective of Initiative 1.2 is to expand digital services and digitalization, enabling taxpayers to file all documents securely and exchange correspondence electronically.","['expand', 'digital', 'services', 'digitalization', 'taxpayers', 'file', 'securely', 'exchange', 'correspondence', 'electronically']",IRS_Strategic_Operating_Plan.pdf
What are some success metrics for Initiative 1.2?,"Success for Initiative 1.2 would include customers finding it easier to prepare and submit documents to the IRS, processing times falling for end-to-end digital processes, backlogs in paper and manual processes being eliminated, and the accuracy of translation of return data increasing as the IRS phases in digital (e-filed) and digitalized (paper converted to digital data) receipts.","['easier', 'falling', 'eliminated', 'increasing']",IRS_Strategic_Operating_Plan.pdf
How will Initiative 1.2 benefit taxpayers?,"Initiative 1.2 will benefit taxpayers by providing them with secure electronic filing and processing options, reducing the need for shipping and minimizing the amount of paper storage required, and making digital tools accessible for people with disabilities and available in taxpayers' preferred languages.","['secure', 'electronic', 'digital', 'accessible', 'disabilities', 'preferred']",IRS_Strategic_Operating_Plan.pdf
What are some of the challenges that the IRS faces in implementing Initiative 1.2?,"The IRS faces challenges in implementing Initiative 1.2, including the fact that most taxpayers prefer to file IRS documents electronically when available, but the remaining paper-based filings have outsized effects on IRS operations, and paper filings take longer, cost more, and are more prone to errors, leading to a downward spiral in service quality.","['including', 'most', 'but', 'and', 'take', 'cost', 'are', 'leading']",IRS_Strategic_Operating_Plan.pdf
How will the IRS address these challenges?,"The IRS will address these challenges by enabling secure electronic filing and processing for IRS documents, providing taxpayers the option to file documents electronically and securely, processing all forms, returns, and certifications digitally regardless of how they are submitted, and modernizing forms and other documents to make them mobile-friendly.","['enabling', 'electronic', 'processing', 'digitally', 'modernizing']",IRS_Strategic_Operating_Plan.pdf
What is the timeline for implementing Initiative 1.2?,"The timeline for implementing Initiative 1.2 includes milestones such as expanding hours at TACs for appointments and on-demand service with staffing to meet expected demand, taxpayers and tax professionals being able to schedule service appointments via multiple channels based on staff availability, and increased service availability and services being offered in TACs and on phones to meet taxpayer demand, all of which are expected to be completed by FY 2024.",['FY 2024'],IRS_Strategic_Operating_Plan.pdf
What is the goal of the IRS's digital modernization effort?,"The goal of the IRS's digital modernization effort is to modernize forms and other documents to make them mobile-friendly, shift away from traditional paper forms, and enable digital processing.","['modernize', 'mobile-friendly', 'digital', 'processing']",IRS_Strategic_Operating_Plan.pdf
What are some key projects under the IRS's digital modernization effort?,"Some key projects under the IRS's digital modernization effort include creating digital forms, expanding digitalization, enabling digital data delivery throughout the IRS, reinforcing secure storage and archiving practices, creating viewable digitized data, enabling and implementing digital processing, and evaluating which taxpayers are most burdened during filing and removing barriers to electronic filing.","['creating', 'expanding', 'enabling', 'reinforcing', 'creating', 'enabling', 'implementing', 'evaluating', 'removing']",IRS_Strategic_Operating_Plan.pdf
What is the objective of the IRS's digitalization effort?,The objective of the IRS's digitalization effort is to improve the taxpayer experience and organizational efficiency by modernizing processes and making them more digital.,"['improve', 'taxpayer', 'experience', 'modernizing', 'digital']",IRS_Strategic_Operating_Plan.pdf
What are some examples of forms that will be modernized under the IRS's digital modernization effort?,"Some examples of forms that will be modernized under the IRS's digital modernization effort include the Individual Tax Identification Number (ITIN) process, Tax Pro Account features to submit authorizations to assist clients, and fully digitalizing amended return processing.","['ITIN', 'Tax Pro Account', 'amended return']",IRS_Strategic_Operating_Plan.pdf
What is the timeline for the IRS's digital modernization effort?,"The timeline for the IRS's digital modernization effort includes several milestones, such as the launch of the Digital Enablement Platform in 2022, the enhancement of scanning of key tax forms in 2023, and the implementation of high-priority end-to-end digital processes by 2024.","['2022', '2023', '2024']",IRS_Strategic_Operating_Plan.pdf
What are some of the key dependencies for the IRS's digital modernization effort?,"Some of the key dependencies for the IRS's digital modernization effort include projects in initiatives such as 4.1, 4.3-4.5, 5.5, and 1.4, 1.9, 1.11, 2.2, 2.7, 4.1, 4.5, 5.3, and 5.8.","['4.1', '4.3', '4.4', '4.5', '5.5', '1.4', '1.9', '1.11', '2.2', '2.7', '5.3', '5.8']",IRS_Strategic_Operating_Plan.pdf
What is the purpose of the IRS's Digital Enablement Platform?,"The purpose of the IRS's Digital Enablement Platform is to modernize forms and other documents to make them mobile-friendly, shift away from traditional paper forms, and enable digital processing.","['modernize', 'mobile-friendly', 'digital', 'processing']",IRS_Strategic_Operating_Plan.pdf
How will the IRS ensure secure storage and archiving practices?,"The IRS will ensure secure storage and archiving practices by implementing necessary data storage requirements and best practices to retain proof of receipt and of senders’ identities, and archiving materials as appropriate and required.","['implementing', 'best', 'archiving']",IRS_Strategic_Operating_Plan.pdf
What is the goal of the IRS's effort to evaluate which taxpayers are most burdened during filing?,"The goal of the IRS's effort to evaluate which taxpayers are most burdened during filing is to identify taxpayers who face barriers during filing, such as those who may be eligible for credits and deductions, those who need information quickly from the IRS, or those who are required to paper-file in certain circumstances, and prioritize creating and improving digital pathways for these taxpayers.","['identify', 'taxpayers', 'face', 'barriers', 'filing', 'eligible', 'credits', 'deductions', 'information', 'IRS', 'paper-file', 'circumstances', 'prioritize', 'creating', 'improving', 'digital', 'pathways']",IRS_Strategic_Operating_Plan.pdf
What is the significance of the IRS's initiative to enable and implement digital processing?,"The IRS's initiative to enable and implement digital processing is significant because it will replace and streamline case, account, and payment systems to incorporate more automation and digitally process data received from any submission, which will improve the taxpayer experience and organizational efficiency.","['significant', 'digital', 'processing', 'automation', 'efficiency']",IRS_Strategic_Operating_Plan.pdf
