question,answer,tokens_present,document
What was the impact of the government's measures to tighten foreign worker policy on the growth of the non-resident workforce in Singapore?,"The growth of the non-resident workforce in Singapore plateaued in the mid-2010s, rising from 1.044 million workers in 2009 to around 1.415 million in 2016, while assimilation into the resident workforce slowed down significantly.","['plateaued', 'rising', '1.044 million', '1.415 million', '2009', '2016', 'slowed down']",Immigration_in_Singapore.pdf
How did the Ministry of Manpower (MOM) revise its Employment Pass scheme in 2012?,"The MOM revised its Employment Pass scheme in 2012 by tightening its eligibility requirements, including increasing the qualifying salaries of the P2 Pass and Q1 Pass, and raising the bar for older applicants to qualify for the Q1 Pass.","['tightening', 'eligibility', 'requirements', 'increasing', 'qualifying', 'salaries', 'raising', 'bar', 'older', 'applicants', 'qualify']",Immigration_in_Singapore.pdf
"What was the reason for the protest attended by 5,000 people in opposition to the White Paper on Population?","The protest was attended by 5,000 people in opposition to the White Paper on Population because the public perceived that the paper's proposals would lead to an increase in the number of foreign workers in Singapore, which would negatively impact the job market and the quality of life for Singaporeans.","['negatively', 'impact', 'Singaporeans']",Immigration_in_Singapore.pdf
What was the outcome of the government's efforts to disassociate population policy from the White Paper?,"The government's efforts to disassociate population policy from the White Paper were successful, as the White Paper was subsequently accepted by Parliament, but the government took steps to distance itself from the paper's proposals and to emphasize that population policy would be determined by the needs of the economy and society.","['successful', 'accepted', 'distancing', 'proposals', 'emphasize', 'needs', 'economy', 'society']",Immigration_in_Singapore.pdf
How did the government's measures to tighten foreign worker policy affect the number of new citizen and permanent resident grants?,"The government's measures to tighten foreign worker policy resulted in a significant decrease in the number of new citizen and permanent resident grants, slowing down to an average of about 20,000 and 30,000 per year, respectively.","['decrease', '20,000', '30,000']",Immigration_in_Singapore.pdf
What was the approximate number of foreign workers in Singapore in 2009?,The number of foreign workers in Singapore in 2009 was around 1.044 million.,['1.044 million'],Immigration_in_Singapore.pdf
What was the approximate number of foreign workers in Singapore in 2016?,The number of foreign workers in Singapore in 2016 was around 1.415 million.,['1.415 million'],Immigration_in_Singapore.pdf
What was the reason for the slowdown in assimilation into the resident workforce in Singapore?,"The slowdown in assimilation into the resident workforce in Singapore was due to measures to slow or halt foreign workforce growth, as well as a reduction in inflows of foreign students.","['slowdown', 'assimilation', 'resident', 'workforce', 'Singapore', 'measures', 'foreign', 'workforce', 'growth', 'reduction', 'inflows', 'foreign', 'students']",Immigration_in_Singapore.pdf
How many foreign students were admitted to Singapore in 2008?,"In 2008, 100,000 foreign students were admitted to Singapore.","['100,000']",Immigration_in_Singapore.pdf
How many foreign students were admitted to Singapore in 2012?,"In 2012, 84,000 foreign students were admitted to Singapore.","['84,000']",Immigration_in_Singapore.pdf
What is the main source of migrant inflow into Singapore?,The main source of migrant inflow into Singapore is foreign workers.,['foreign workers'],Immigration_in_Singapore.pdf
What is tripartism in the context of labor force policy in Singapore?,"Tripartism in the context of labor force policy in Singapore refers to the cooperative role of the government, employers, and labor unions in sustaining employment, business growth, and wage growth.","['Tripartism', 'government', 'employers', 'labor unions', 'employment', 'business growth', 'wage growth']",Immigration_in_Singapore.pdf
What is the role of the Economic Development Board in Singapore's immigration policy?,The Economic Development Board in Singapore is responsible for engaging foreign investors and multinational enterprises and prioritizing their needs in terms of labor market reforms and foreign manpower.,"['Economic Development Board', 'Singapore', 'labor market', 'foreign manpower']",Immigration_in_Singapore.pdf
What is the approach to managing foreign labor in Singapore?,"The approach to managing foreign labor in Singapore differs substantially by the skill level of migrants. Low-skilled migrants are viewed as temporary guest workers and are subject to strict conditions, while skilled foreigners are encouraged to bring their families and have a path to permanent residency or citizenship.","['temporary', 'guest', 'workers', 'strict', 'conditions', 'skilled', 'foreigners', 'families', 'permanent', 'residency', 'citizenship']",Immigration_in_Singapore.pdf
What is the rationale behind Singapore's immigration policy?,"The rationale behind Singapore's immigration policy is to maintain economic competitiveness and growth, fill labor shortages, and provide care services within the household, while also addressing demographic considerations such as low fertility and an aging population.","['maintain', 'economic', 'competitiveness', 'growth', 'fill', 'labor', 'shortages', 'provide', 'care', 'services', 'household', 'addressing', 'demographic', 'considerations', 'low', 'fertility', 'aging', 'population']",Immigration_in_Singapore.pdf
What is the percentage of low-skilled migrants in Singapore's foreign workforce according to Figure 3?,"According to Figure 3, low-skilled migrants in the form of Work Permit (WP) holders comprise around 50% of Singapore's foreign workforce.",['50%'],Immigration_in_Singapore.pdf
What is the purpose of the dependency ratio ceiling for employers in Singapore?,"The purpose of the dependency ratio ceiling is to limit the number of foreign workers that an employer can hire, in order to preserve resident jobs and promote complementarity between resident workers and foreign workers.","['limit', 'foreign workers', 'resident jobs', 'complementarity']",Immigration_in_Singapore.pdf
What is the qualifying salary criteria for S Pass holders in Singapore?,"The qualifying salary criteria for S Pass holders is set at more than S$3,000 but less than S$5,000, with a degree or diploma, and relevant work experience.","['S$3,000', 'S$5,000']",Immigration_in_Singapore.pdf
What is the main rationale behind the mechanisms to regulate the supply of low-skilled foreign workers in Singapore?,"The main rationale is to balance the need to supplement the labor force to sustain economic growth while keeping production costs reasonable, and at the same time to avoid excessive reliance on foreign workers.","['balance', 'supplement', 'labor force', 'economic growth', 'production costs', 'foreign workers']",Immigration_in_Singapore.pdf
How does the foreign worker levy vary in Singapore?,"The foreign worker levy varies by sector, source country, and skill level of the migrant.","['The', 'foreign', 'worker', 'levy', 'varies']",Immigration_in_Singapore.pdf
What is the objective of the qualifying wage criteria for S Pass holders?,The objective of the qualifying wage criteria for S Pass holders is to ensure that Employment Pass (EP) and S Pass holders are comparable in quality to the top one-third of local PMET and APT workforce respectively.,"['Ensure', 'quality', 'top', 'one-third', 'local', 'PMET', 'APT', 'workforce']",Immigration_in_Singapore.pdf
What is the percentage of foreign domestic helpers in Singapore's foreign workforce from 2009 to 2021?,Foreign domestic helpers accounted for around 15% to 20% of Singapore's foreign workforce from 2009 to 2021.,"['15%', '20%']",Immigration_in_Singapore.pdf
What is the purpose of the Work Permit (WP) scheme in Singapore?,"The Work Permit (WP) scheme is designed to allow foreign workers from approved source countries to work for a specified employer in certain sectors, such as construction, manufacturing, marine shipyard, process or the services sector.","['Work', 'Permit', 'scheme', 'Singapore', 'foreign', 'workers', 'approved', 'source', 'countries', 'specified', 'employer', 'sectors']",Immigration_in_Singapore.pdf
How has the Singapore government actively used the foreign worker levy and the dependency ratio ceiling in the past 30 years?,"The Singapore government has actively used both the foreign worker levy and the dependency ratio ceiling to achieve longer-term policy aims, as well as to manage the short-term flow of labor in response to economic cycles and other events.","['The', 'Singapore', 'government', 'has', 'actively', 'used', 'both', 'the', 'foreign', 'worker', 'levy', 'and', 'the', 'dependency', 'ratio', 'ceiling', 'to', 'achieve', 'longer-term', 'policy', 'aims', 'as', 'well', 'as', 'to', 'manage', 'the', 'short-term', 'flow', 'of', 'labor', 'in', 'response', 'to', 'economic', 'cycles', 'and', 'other', 'events']",Immigration_in_Singapore.pdf
What is the name of the framework that regulates the hiring of low-skilled and medium-skilled temporary foreign workers in Singapore?,The framework that regulates the hiring of low-skilled and medium-skilled temporary foreign workers in Singapore is known as the Work Permit (WP) and S Pass scheme.,"['Work Permit', 'S Pass']",Immigration_in_Singapore.pdf
What has the Singapore government done to manage the short-term flow of labor in response to economic cycles and other events?,"The Singapore government has actively used both the foreign worker levy and the dependency ratio ceiling to achieve longer-term policy aims, as well as to manage the short-term flow of labor in response to economic cycles and other events.","['The', 'Singapore', 'government', 'has', 'actively', 'used', 'both', 'the', 'foreign', 'worker', 'levy', 'and', 'the', 'dependency', 'ratio', 'ceiling', 'to', 'achieve', 'longer-term', 'policy', 'aims', 'as', 'well', 'as', 'to', 'manage', 'the', 'short-term', 'flow', 'of', 'labor', 'in', 'response', 'to', 'economic', 'cycles', 'and', 'other', 'events']",Immigration_in_Singapore.pdf
What is the purpose of the Foreign Maid Scheme in Singapore?,The Foreign Maid Scheme was introduced in 1978 to facilitate the hiring of domestic workers from regional countries beyond Malaysia to provide live-in domestic help as a means to ensure affordable child care and elder care to encourage female residents to enter the labor force.,"['To', 'facilitate', 'domestic', 'workers', 'regional', 'countries', 'beyond', 'Malaysia', 'live-in', 'domestic', 'help', 'affordable', 'child', 'care', 'elder', 'care', 'encourage', 'female', 'residents', 'labor', 'force']",Immigration_in_Singapore.pdf
What are the requirements for foreign domestic workers (FDWs) in Singapore?,"FDWs must be female, between the ages of 23 to 50, have a minimum of 8 years of formal education, and be from an approved source country or region. They must also meet age, nationality, and education requirements to quality for a Work Permit.","['female', '23', '50', '8', 'approved', 'source', 'country', 'region', 'Work', 'Permit']",Immigration_in_Singapore.pdf
What are the requirements for employers who wish to hire an FDW in Singapore?,"Employers must be 21 years and above and be financially solvent. They are also required to pay a monthly levy, with concessionary rates available to older employers as well as those with disabilities, as well as employers residing with young children, older parents/grandparents, and/or disabled family members.","['21', 'financially solvent', 'monthly levy', 'concessionary rates', 'older employers', 'disabled', 'young children', 'older parents/grandparents', 'disabled family members']",Immigration_in_Singapore.pdf
What is the purpose of the Employment Pass (EP) in Singapore?,"The EP is meant for foreign professionals, managers, and executives and is granted for a period of two years in the first instance, and thereafter is subjected to renewal on a three-year basis. The policy objective for managing the EP qualifying salary is to maintain the quality of EP holders to be comparable to the upper one-third of resident workers in the same skill category.","['The', 'EP', 'is', 'meant', 'for', 'foreign', 'professionals', 'managers', 'and', 'executives']",Immigration_in_Singapore.pdf
What are the criteria governing the issuance of the EP in Singapore?,"Employers must demonstrate that they posted the job offer on the official online job portal approved by the Singapore government and have fairly considered residents for the role, before they are eligible to apply for the EP.","['Employers', 'must', 'demonstrate', 'posted', 'job', 'offer', 'official', 'online', 'job', 'portal', 'approved', 'Singapore', 'government', 'fairly', 'considered', 'residents', 'role', 'eligible', 'apply', 'EP']",Immigration_in_Singapore.pdf
Can EP holders bring their family members into Singapore?,"Yes, EP holders who earn at least S$6,000 are allowed to bring their family members into Singapore under a dependent’s Pass.",['Yes'],Immigration_in_Singapore.pdf
Is there a quota on the number of EPs that can be granted in Singapore?,"No, there is no quota on the number of EPs that can be granted in Singapore.",['No'],Immigration_in_Singapore.pdf
Can EP holders change employers freely in Singapore?,"No, EP holders cannot change employers freely in Singapore.",['No'],Immigration_in_Singapore.pdf
What is the purpose of the dependency ratio ceiling in Singapore?,"The dependency ratio ceiling is used to manage the short-term flow of labor in response to economic cycles and other events, and to achieve longer-term policy aims. It is lowered in selected sectors to reduce Singapore’s reliance on foreign workers.","['dependency ratio ceiling', 'Singapore', 'foreign workers']",Immigration_in_Singapore.pdf
